* Measurement data measured by REW V5.31.3
* Source: Aqua JM-1 Filtered
* Format: 
* Dated: Jun 6, 2025 11:30:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced  LS Q     Fc   100.0 Hz  Gain   3.00 dB Q  0.707
* Measurement: Rollo Neutral Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
1315.000000, 1.199
1320.000000, 1.217
1340.000000, 1.288
1360.000000, 1.357
1380.000000, 1.427
1400.000000, 1.497
1430.000000, 1.605
1450.000000, 1.679
1475.000000, 1.776
1500.000000, 1.876
1525.000000, 1.981
1550.000000, 2.090
1575.000000, 2.204
1600.000000, 2.322
1625.000000, 2.444
1650.000000, 2.570
1675.000000, 2.699
1700.000000, 2.832
1725.000000, 2.967
1750.000000, 3.106
1775.000000, 3.247
1800.000000, 3.390
1825.000000, 3.536
1850.000000, 3.684
1875.000000, 3.834
1900.000000, 3.986
1925.000000, 4.141
1950.000000, 4.297
1975.000000, 4.455
2000.000000, 4.615
2030.000000, 4.810
2060.000000, 5.007
2090.000000, 5.207
2120.000000, 5.408
2140.000000, 5.543
2180.000000, 5.815
2200.000000, 5.951
2240.000000, 6.221
2270.000000, 6.423
2300.000000, 6.622
2330.000000, 6.818
2360.000000, 7.011
2400.000000, 7.262
2430.000000, 7.446
2470.000000, 7.682
2500.000000, 7.854
2540.000000, 8.074
2580.000000, 8.283
2620.000000, 8.481
2650.000000, 8.622
2690.000000, 8.797
2720.000000, 8.918
2760.000000, 9.065
2800.000000, 9.193
2850.000000, 9.322
2900.000000, 9.414
2950.000000, 9.468
3000.000000, 9.482
3040.000000, 9.467
3070.000000, 9.441
3110.000000, 9.390
3150.000000, 9.321
3200.000000, 9.214
3250.000000, 9.088
3300.000000, 8.948
3350.000000, 8.795
3400.000000, 8.632
3450.000000, 8.461
3500.000000, 8.283
3550.000000, 8.099
3600.000000, 7.911
3650.000000, 7.718
3700.000000, 7.523
3750.000000, 7.326
3820.000000, 7.048
3870.000000, 6.849
3950.000000, 6.532
4000.000000, 6.335
4060.000000, 6.102
4120.000000, 5.872
4180.000000, 5.647
4250.000000, 5.391
4310.000000, 5.178
4370.000000, 4.971
4440.000000, 4.739
4500.000000, 4.548
4550.000000, 4.395
4620.000000, 4.190
4680.000000, 4.024
4750.000000, 3.841
4820.000000, 3.671
4870.000000, 3.557
4940.000000, 3.409
5000.000000, 3.293
5080.000000, 3.152
5150.000000, 3.044
5220.000000, 2.948
5300.000000, 2.854
5380.000000, 2.774
5450.000000, 2.714
5520.000000, 2.662
5600.000000, 2.610
5700.000000, 2.548
5800.000000, 2.486
5900.000000, 2.417
6000.000000, 2.339
6080.000000, 2.270
6150.000000, 2.207
6220.000000, 2.142
6300.000000, 2.069
6400.000000, 1.983
6500.000000, 1.908
6600.000000, 1.852
6700.000000, 1.821
6800.000000, 1.823
6900.000000, 1.859
7000.000000, 1.929
7100.000000, 2.031
7200.000000, 2.154
7300.000000, 2.289
7400.000000, 2.425
7500.000000, 2.550
7620.000000, 2.673
