* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 8:05:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Clr, TWS 6) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1950.000000	75.424
1975.000000	75.458
2000.000000	75.503
2030.000000	75.567
2060.000000	75.638
2090.000000	75.709
2120.000000	75.777
2140.000000	75.822
2180.000000	75.899
2200.000000	75.934
2240.000000	75.991
2270.000000	76.024
2300.000000	76.045
2330.000000	76.057
2360.000000	76.059
2400.000000	76.052
2430.000000	76.044
2470.000000	76.034
2500.000000	76.032
2540.000000	76.037
2580.000000	76.050
2620.000000	76.068
2650.000000	76.082
2690.000000	76.098
2720.000000	76.107
2760.000000	76.116
2800.000000	76.120
2850.000000	76.120
2900.000000	76.115
2950.000000	76.103
3000.000000	76.088
3040.000000	76.070
3070.000000	76.050
3110.000000	76.017
3150.000000	75.975
3200.000000	75.907
3250.000000	75.817
3300.000000	75.706
3350.000000	75.576
3400.000000	75.430
3450.000000	75.275
3500.000000	75.115
3550.000000	74.954
3600.000000	74.798
3650.000000	74.648
3700.000000	74.509
3750.000000	74.380
3820.000000	74.219
3870.000000	74.115
3950.000000	73.960
4000.000000	73.872
4060.000000	73.770
4120.000000	73.674
4180.000000	73.583
4250.000000	73.483
4310.000000	73.404
4370.000000	73.330
4440.000000	73.251
4500.000000	73.190
4550.000000	73.146
4620.000000	73.091
4680.000000	73.055
4750.000000	73.023
4820.000000	73.003
4870.000000	72.996
4940.000000	72.993
5000.000000	72.998
5080.000000	73.011
5150.000000	73.030
5220.000000	73.055
5300.000000	73.089
5380.000000	73.129
5450.000000	73.171
5520.000000	73.217
5600.000000	73.273
5700.000000	73.345
5800.000000	73.419
5900.000000	73.497
6000.000000	73.578
6080.000000	73.646
6150.000000	73.707
6220.000000	73.774
6300.000000	73.855
6400.000000	73.961
6500.000000	74.076
6600.000000	74.197
6700.000000	74.325
6800.000000	74.457
6900.000000	74.592
7000.000000	74.729
7100.000000	74.870
7200.000000	75.015
7300.000000	75.165
7400.000000	75.320
7500.000000	75.479
7620.000000	75.669
7750.000000	75.870
7880.000000	76.057
8000.000000	76.206
8120.000000	76.327
8250.000000	76.420
8380.000000	76.466
8500.000000	76.462
8620.000000	76.409
8750.000000	76.289
8850.000000	76.149
9000.000000	75.847
9120.000000	75.532
9250.000000	75.110
9380.000000	74.611
9500.000000	74.090
9620.000000	73.511
9750.000000	72.825
9880.000000	72.090
10000.000000	71.376
10150.000000	70.475
10300.000000	69.571
10440.000000	68.739
10600.000000	67.840
10750.000000	67.050
10900.000000	66.328
11060.000000	65.640
11200.000000	65.102
11380.000000	64.505
11500.000000	64.153
11720.000000	63.605
11800.000000	63.435
12060.000000	62.957
12200.000000	62.752
12410.000000	62.517
12500.000000	62.442
12650.000000	62.348
12800.000000	62.294
13150.000000	62.331
13200.000000	62.353
13400.000000	62.483
13600.000000	62.670
13800.000000	62.900
14000.000000	63.154
14300.000000	63.544
14500.000000	63.766
14750.000000	63.973
15000.000000	64.077
15250.000000	64.067
15500.000000	63.948
15750.000000	63.738
16000.000000	63.460
16250.000000	63.137
16500.000000	62.776
16750.000000	62.372
17000.000000	61.911
17250.000000	61.373
17500.000000	60.744
17750.000000	60.016
18000.000000	59.188
18250.000000	58.267
18500.000000	57.265
18750.000000	56.199
19000.000000	55.088
19250.000000	53.956
19500.000000	52.829
19750.000000	51.739
20000.000000	50.728
