* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 27, 2025 5:35:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 7A Supernova
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.551948 86.355 174.3239
1.563194 86.437 174.3977
1.574521 86.517 174.4831
1.585931 86.595 174.5753
1.597423 86.671 174.6718
1.608999 86.745 174.7724
1.620658 86.818 174.8768
1.632402 86.889 174.9850
1.644232 86.959 175.0967
1.656146 87.027 175.2116
1.668147 87.094 175.3297
1.680235 87.160 175.4506
1.692411 87.226 175.5741
1.704675 87.290 175.7000
1.717028 87.354 175.8282
1.729470 87.417 175.9583
1.742003 87.480 176.0901
1.754626 87.544 176.2234
1.767341 87.607 176.3600
1.780147 87.670 176.5158
1.793047 87.734 176.6724
1.806040 87.799 176.8297
1.819128 87.865 176.9876
1.832310 87.930 177.1462
1.845587 87.996 177.3060
1.858961 88.062 177.4675
1.872432 88.127 177.6310
1.886001 88.191 177.7971
1.899667 88.254 177.9660
1.913433 88.316 178.1378
1.927299 88.377 178.3129
1.941265 88.438 178.4913
1.955332 88.497 178.6732
1.969501 88.556 178.8592
1.983773 88.614 179.0497
1.998148 88.670 179.2443
2.012627 88.726 179.4429
2.027212 88.781 179.6455
2.041902 88.836 179.8524
2.056698 88.889 -179.9366
2.071602 88.942 -179.7213
2.086614 88.994 -179.5018
2.101734 89.045 -179.2781
2.116964 89.095 -179.0502
2.132304 89.144 -178.8182
2.147756 89.193 -178.5822
2.163320 89.241 -178.3422
2.178996 89.288 -178.1259
2.194786 89.334 -177.9121
2.210690 89.379 -177.6957
2.226710 89.423 -177.4770
2.242845 89.466 -177.2561
2.259098 89.507 -177.0329
2.275468 89.548 -176.8068
2.291957 89.586 -176.5777
2.308566 89.624 -176.3451
2.325295 89.660 -176.1088
2.342145 89.695 -175.8685
2.359117 89.729 -175.6239
2.376212 89.762 -175.4030
2.393431 89.794 -175.1966
2.410775 89.824 -174.9856
2.428244 89.854 -174.7697
2.445840 89.882 -174.5489
2.463564 89.910 -174.3228
2.481416 89.937 -174.0915
2.499397 89.962 -173.8549
2.517509 89.987 -173.6128
2.535752 90.011 -173.3654
2.554127 90.034 -173.1131
2.572635 90.056 -172.8788
2.591277 90.077 -172.6815
2.610055 90.097 -172.4821
2.628968 90.115 -172.2807
2.648019 90.131 -172.0768
2.667208 90.146 -171.8701
2.686535 90.160 -171.6601
2.706003 90.172 -171.4464
2.725612 90.183 -171.2284
2.745363 90.193 -171.0059
2.765257 90.201 -170.7783
2.785295 90.209 -170.6134
2.805478 90.215 -170.4460
2.825808 90.221 -170.2729
2.846285 90.226 -170.0939
2.866910 90.230 -169.9088
2.887685 90.233 -169.7173
2.908611 90.236 -169.5195
2.929688 90.237 -169.3162
2.950917 90.238 -169.1087
2.972301 90.238 -168.9186
2.993839 90.236 -168.7753
3.015534 90.233 -168.6296
3.037386 90.229 -168.4813
3.059396 90.224 -168.3296
3.081565 90.217 -168.1741
3.103896 90.209 -168.0141
3.126388 90.201 -167.8491
3.149043 90.191 -167.6786
3.171862 90.181 -167.5220
3.194847 90.169 -167.4177
3.217998 90.158 -167.3067
3.241317 90.145 -167.1888
3.264805 90.132 -167.0636
3.288463 90.119 -166.9315
3.312293 90.105 -166.7936
3.336295 90.090 -166.6513
3.360471 90.074 -166.5054
3.384822 90.057 -166.4100
3.409350 90.039 -166.3272
3.434056 90.020 -166.2406
3.458940 90.000 -166.1496
3.484005 89.979 -166.0538
3.509252 89.958 -165.9527
3.534681 89.936 -165.8456
3.560295 89.914 -165.7322
3.586094 89.892 -165.6687
3.612081 89.869 -165.6145
3.638255 89.846 -165.5535
3.664620 89.823 -165.4859
3.691175 89.799 -165.4129
3.717923 89.775 -165.3355
3.744864 89.750 -165.2540
3.772001 89.725 -165.1823
3.799335 89.699 -165.1553
3.826866 89.673 -165.1239
3.854597 89.646 -165.0878
3.882529 89.619 -165.0464
3.910664 89.592 -164.9995
3.939002 89.565 -164.9465
3.967546 89.538 -164.8905
3.996296 89.510 -164.8895
4.025255 89.483 -164.8823
4.054423 89.455 -164.8696
4.083804 89.428 -164.8521
4.113396 89.400 -164.8302
4.143204 89.372 -164.8039
4.173227 89.343 -164.7865
4.203468 89.315 -164.8071
4.233928 89.287 -164.8232
4.264609 89.258 -164.8347
4.295512 89.230 -164.8412
4.326639 89.202 -164.8427
4.357992 89.173 -164.8390
4.389572 89.145 -164.8702
4.421380 89.118 -164.9106
4.453419 89.090 -164.9471
4.485691 89.062 -164.9797
4.518196 89.035 -165.0087
4.550936 89.007 -165.0338
4.583914 88.980 -165.0811
4.617131 88.953 -165.1465
4.650589 88.926 -165.2080
4.684289 88.899 -165.2657
4.718233 88.873 -165.3193
4.752424 88.847 -165.3691
4.786862 88.822 -165.4428
4.821549 88.797 -165.5315
4.856488 88.772 -165.6174
4.891680 88.748 -165.7005
4.927127 88.724 -165.7807
4.962831 88.700 -165.8578
4.998794 88.677 -165.9696
5.035017 88.654 -166.0821
5.071503 88.631 -166.1913
5.108253 88.608 -166.2974
5.145270 88.585 -166.4007
5.182555 88.563 -166.5184
5.220110 88.541 -166.6555
5.257937 88.519 -166.7905
5.296038 88.498 -166.9232
5.334415 88.477 -167.0534
5.373071 88.456 -167.1873
5.412006 88.435 -167.3474
5.451224 88.415 -167.5044
5.490725 88.394 -167.6585
5.530514 88.374 -167.8100
5.570590 88.354 -167.9633
5.610957 88.335 -168.1428
5.651616 88.316 -168.3204
5.692570 88.297 -168.4955
5.733821 88.278 -168.6677
5.775370 88.259 -168.8434
5.817221 88.241 -169.0392
5.859375 88.223 -169.2316
5.901834 88.205 -169.4211
5.944602 88.187 -169.6082
5.987679 88.170 -169.8064
6.031068 88.152 -170.0156
6.074771 88.135 -170.2217
6.118792 88.118 -170.4242
6.163131 88.102 -170.6228
6.207792 88.086 -170.8405
6.252776 88.070 -171.0560
6.298086 88.054 -171.2681
6.343725 88.038 -171.4772
6.389694 88.023 -171.6943
6.435996 88.008 -171.9185
6.482634 87.994 -172.1388
6.529610 87.980 -172.3547
6.576926 87.966 -172.5706
6.624585 87.953 -172.7972
6.672590 87.940 -173.0199
6.720942 87.928 -173.2389
6.769645 87.916 -173.4553
6.818700 87.905 -173.6839
6.868111 87.894 -173.9084
6.917881 87.884 -174.1284
6.968010 87.875 -174.3445
7.018504 87.866 -174.5717
7.069362 87.858 -174.7948
7.120590 87.850 -175.0139
7.172189 87.843 -175.2306
7.224161 87.837 -175.4557
7.276511 87.831 -175.6768
7.329239 87.826 -175.8939
7.382350 87.822 -176.1106
7.435845 87.818 -176.3320
7.489729 87.815 -176.5495
7.544002 87.813 -176.7636
7.598669 87.812 -176.9802
7.653732 87.812 -177.1976
7.709194 87.812 -177.4118
7.765058 87.813 -177.6227
7.821327 87.815 -177.8389
7.878004 87.818 -178.0523
7.935091 87.822 -178.2632
7.992592 87.826 -178.4748
8.050510 87.832 -178.6877
8.108847 87.838 -178.8987
8.167607 87.845 -179.1078
8.226793 87.853 -179.3204
8.286408 87.862 -179.5315
8.346454 87.871 -179.7413
8.406936 87.881 -179.9528
8.467856 87.892 179.8353
8.529218 87.904 179.6242
8.591024 87.916 179.4126
8.653278 87.929 179.1997
8.715983 87.942 178.9873
8.779143 87.955 178.7751
8.842760 87.969 178.5622
8.906839 87.984 178.3494
8.971381 87.999 178.1370
9.036392 88.014 177.9249
9.101873 88.029 177.7136
9.167829 88.045 177.5031
9.234263 88.061 177.2939
9.301178 88.077 177.0853
9.368578 88.092 176.8779
9.436467 88.108 176.6740
9.504847 88.124 176.4722
9.573723 88.139 176.2728
9.643099 88.155 176.0767
9.712976 88.170 175.8831
9.783361 88.184 175.6933
9.854255 88.199 175.5097
9.925663 88.214 175.3303
9.997588 88.228 175.1550
10.070035 88.242 174.9922
10.143007 88.256 174.8344
10.216507 88.269 174.6819
10.290540 88.283 174.5350
10.365109 88.296 174.3936
10.440219 88.308 174.2576
10.515873 88.320 174.1271
10.592076 88.333 174.0020
10.668830 88.344 173.8825
10.746141 88.356 173.7686
10.824012 88.368 173.6598
10.902447 88.379 173.5558
10.981451 88.390 173.4561
11.061027 88.402 173.3616
11.141180 88.413 173.2716
11.221913 88.424 173.1853
11.303232 88.435 173.1019
11.385140 88.446 173.0211
11.467641 88.457 172.9429
11.550741 88.468 172.8669
11.634442 88.478 172.7930
11.718750 88.489 172.7208
11.803669 88.499 172.6501
11.889203 88.508 172.5810
11.975357 88.517 172.5136
12.062136 88.524 172.4323
12.149543 88.531 172.3463
12.237583 88.536 172.2622
12.326262 88.540 172.1804
12.415583 88.543 172.1014
12.505552 88.546 172.0254
12.596172 88.549 171.9526
12.687449 88.550 171.8833
12.779387 88.551 171.8178
12.871992 88.551 171.7566
12.965268 88.551 171.6997
13.059220 88.549 171.6138
13.153852 88.547 171.5123
13.249170 88.544 171.4148
13.345179 88.540 171.3212
13.441884 88.536 171.2313
13.539289 88.531 171.1447
13.637401 88.527 171.0612
13.736223 88.522 170.9805
13.835761 88.517 170.9024
13.936021 88.512 170.8264
14.037007 88.506 170.7276
14.138725 88.500 170.5875
14.241180 88.494 170.4484
14.344377 88.487 170.3104
14.448323 88.480 170.1734
14.553021 88.472 170.0375
14.658478 88.464 169.9031
14.764700 88.456 169.7703
14.871691 88.447 169.6393
14.979457 88.438 169.5106
15.088005 88.429 169.3329
15.197339 88.421 169.1457
15.307465 88.412 168.9612
15.418389 88.403 168.7798
15.530117 88.394 168.6017
15.642655 88.385 168.4270
15.756008 88.375 168.2557
15.870182 88.366 168.0878
15.985184 88.358 167.9231
16.101019 88.350 167.7221
16.217694 88.344 167.5179
16.335214 88.338 167.3160
16.453586 88.333 167.1160
16.572815 88.328 166.9178
16.692909 88.323 166.7211
16.813872 88.318 166.5258
16.935713 88.314 166.3316
17.058436 88.311 166.1290
17.182048 88.309 165.9169
17.306556 88.307 165.7060
17.431967 88.306 165.4964
17.558286 88.305 165.2883
17.685521 88.304 165.0818
17.813677 88.302 164.8772
17.942762 88.302 164.6745
18.072783 88.302 164.4742
18.203746 88.303 164.2760
18.335658 88.305 164.0799
18.468526 88.306 163.8856
18.602356 88.308 163.6931
18.737156 88.310 163.5020
18.872934 88.312 163.3123
19.009695 88.314 163.1245
19.147447 88.317 162.9476
19.286197 88.319 162.7718
19.425953 88.322 162.5969
19.566721 88.325 162.4231
19.708510 88.327 162.2505
19.851326 88.328 162.0793
19.995177 88.330 161.9099
20.140070 88.330 161.7488
20.286013 88.330 161.5903
20.433014 88.330 161.4342
20.581080 88.329 161.2808
20.730219 88.328 161.1301
20.880439 88.326 160.9820
21.031747 88.323 160.8353
21.184152 88.320 160.6862
21.337661 88.316 160.5393
21.492282 88.312 160.3942
21.648024 88.308 160.2507
21.804895 88.303 160.1086
21.962902 88.297 159.9680
22.122054 88.291 159.8112
22.282360 88.283 159.6505
22.443827 88.275 159.4911
22.606464 88.267 159.3333
22.770280 88.258 159.1771
22.935283 88.249 159.0223
23.101481 88.240 158.8492
23.268884 88.230 158.6643
23.437500 88.219 158.4803
23.607338 88.209 158.2971
23.778406 88.198 158.1145
23.950714 88.187 157.9324
24.124271 88.176 157.7286
24.299086 88.164 157.5167
24.475167 88.152 157.3062
24.652524 88.140 157.0978
24.831166 88.128 156.8922
25.011103 88.116 156.6883
25.192344 88.105 156.4657
25.374898 88.094 156.2464
25.558775 88.083 156.0299
25.743984 88.074 155.8156
25.930536 88.064 155.6024
26.118439 88.056 155.3827
26.307704 88.049 155.1584
26.498341 88.042 154.9326
26.690359 88.036 154.7054
26.883768 88.029 154.4769
27.078579 88.022 154.2487
27.274801 88.016 154.0222
27.472446 88.009 153.7971
27.671522 88.002 153.5743
27.872042 87.995 153.3542
28.074014 87.988 153.1399
28.277450 87.981 152.9330
28.482360 87.974 152.7281
28.688755 87.968 152.5241
28.896645 87.961 152.3205
29.106042 87.954 152.1192
29.316957 87.946 151.9202
29.529400 87.937 151.7216
29.743382 87.928 151.5241
29.958915 87.918 151.3287
30.176009 87.907 151.1343
30.394677 87.895 150.9432
30.614929 87.883 150.7559
30.836778 87.870 150.5722
31.060234 87.857 150.3887
31.285309 87.844 150.1997
31.512015 87.831 150.0119
31.740364 87.817 149.8244
31.970368 87.804 149.6366
32.202039 87.790 149.4329
32.435388 87.776 149.2261
32.670428 87.762 149.0186
32.907171 87.747 148.8109
33.145630 87.732 148.5923
33.385817 87.717 148.3670
33.627745 87.702 148.1426
33.871425 87.687 147.9191
34.116871 87.672 147.6905
34.364096 87.657 147.4558
34.613113 87.643 147.2215
34.863934 87.628 146.9872
35.116572 87.614 146.7491
35.371041 87.600 146.5067
35.627354 87.587 146.2642
35.885525 87.573 146.0222
36.145566 87.559 145.7812
36.407492 87.545 145.5420
36.671316 87.531 145.3052
36.937051 87.517 145.0708
37.204712 87.504 144.8410
37.474313 87.491 144.6129
37.745867 87.478 144.3847
38.019389 87.464 144.1559
38.294893 87.451 143.9286
38.572394 87.436 143.7010
38.851905 87.421 143.4741
39.133442 87.406 143.2482
39.417019 87.390 143.0242
39.702651 87.373 142.8034
39.990353 87.356 142.5856
40.280140 87.339 142.3648
40.572026 87.323 142.1444
40.866028 87.306 141.9233
41.162160 87.289 141.6959
41.460438 87.271 141.4629
41.760877 87.253 141.2291
42.063494 87.235 140.9938
42.368303 87.216 140.7530
42.675322 87.197 140.5147
42.984565 87.178 140.2788
43.296048 87.159 140.0377
43.609789 87.140 139.7957
43.925804 87.122 139.5517
44.244108 87.104 139.3020
44.564719 87.085 139.0502
44.887654 87.066 138.7994
45.212928 87.047 138.5494
45.540560 87.028 138.3012
45.870565 87.010 138.0546
46.202962 86.991 137.8073
46.537768 86.973 137.5580
46.875000 86.954 137.3070
47.214676 86.935 137.0557
47.556813 86.915 136.8073
47.901429 86.895 136.5637
48.248542 86.875 136.3229
48.598171 86.856 136.0813
48.950334 86.838 135.8349
49.305048 86.819 135.5779
49.662333 86.800 135.3148
50.022206 86.779 135.0504
50.384688 86.757 134.7864
50.749796 86.735 134.5295
51.117550 86.712 134.2780
51.487969 86.691 134.0274
51.861072 86.670 133.7761
52.236879 86.650 133.5208
52.615409 86.629 133.2628
52.996681 86.608 133.0047
53.380717 86.587 132.7437
53.767536 86.566 132.4831
54.157158 86.545 132.2220
54.549603 86.523 131.9614
54.944892 86.501 131.7053
55.343045 86.480 131.4516
55.744084 86.459 131.1992
56.148028 86.439 130.9428
56.554900 86.419 130.6783
56.964720 86.397 130.4087
57.377510 86.375 130.1366
57.793291 86.352 129.8691
58.212085 86.328 129.6062
58.633914 86.306 129.3433
59.058799 86.284 129.0761
59.486764 86.261 128.8040
59.917829 86.237 128.5315
60.352019 86.212 128.2613
60.789354 86.187 127.9970
61.229859 86.163 127.7343
61.673556 86.140 127.4683
62.120468 86.117 127.1980
62.570618 86.093 126.9262
63.024031 86.069 126.6569
63.480729 86.045 126.3895
63.940736 86.022 126.1210
64.404077 86.000 125.8458
64.870776 85.976 125.5662
65.340856 85.952 125.2837
65.814343 85.927 125.0028
66.291261 85.902 124.7232
66.771635 85.877 124.4432
67.255489 85.852 124.1619
67.742850 85.827 123.8801
68.233743 85.801 123.5995
68.728193 85.776 123.3193
69.226226 85.750 123.0381
69.727867 85.725 122.7564
70.233144 85.700 122.4753
70.742083 85.675 122.1947
71.254709 85.650 121.9114
71.771050 85.626 121.6233
72.291132 85.602 121.3323
72.814984 85.577 121.0432
73.342631 85.552 120.7556
73.874102 85.527 120.4671
74.409424 85.502 120.1743
74.948626 85.476 119.8808
75.491734 85.449 119.5915
76.038779 85.422 119.3097
76.589787 85.396 119.0293
77.144788 85.370 118.7462
77.703811 85.344 118.4585
78.266885 85.317 118.1687
78.834039 85.290 117.8792
79.405303 85.263 117.5897
79.980706 85.237 117.2969
80.560280 85.211 116.9992
81.144053 85.184 116.6985
81.732056 85.156 116.3986
82.324320 85.128 116.1008
82.920876 85.101 115.8033
83.521755 85.074 115.5039
84.126988 85.047 115.2039
84.736607 85.020 114.9043
85.350643 84.992 114.6068
85.969129 84.964 114.3108
86.592097 84.937 114.0147
87.219579 84.910 113.7181
87.851608 84.882 113.4200
88.488217 84.855 113.1187
89.129439 84.827 112.8159
89.775308 84.799 112.5124
90.425856 84.771 112.2083
91.081119 84.743 111.9022
91.741131 84.715 111.5928
92.405925 84.687 111.2820
93.075536 84.658 110.9724
93.750000 84.629 110.6651
94.429351 84.601 110.3583
95.113625 84.573 110.0505
