* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 7:56:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Clr, TWS 6) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1950.000000	74.913
1975.000000	74.917
2000.000000	74.930
2030.000000	74.955
2060.000000	74.990
2090.000000	75.030
2120.000000	75.073
2140.000000	75.102
2180.000000	75.155
2200.000000	75.179
2240.000000	75.217
2270.000000	75.234
2300.000000	75.241
2330.000000	75.236
2360.000000	75.220
2400.000000	75.184
2430.000000	75.150
2470.000000	75.101
2500.000000	75.066
2540.000000	75.022
2580.000000	74.982
2620.000000	74.946
2650.000000	74.919
2690.000000	74.882
2720.000000	74.855
2760.000000	74.818
2800.000000	74.781
2850.000000	74.737
2900.000000	74.698
2950.000000	74.664
3000.000000	74.636
3040.000000	74.615
3070.000000	74.599
3110.000000	74.579
3150.000000	74.559
3200.000000	74.527
3250.000000	74.480
3300.000000	74.414
3350.000000	74.325
3400.000000	74.215
3450.000000	74.085
3500.000000	73.941
3550.000000	73.788
3600.000000	73.633
3650.000000	73.481
3700.000000	73.337
3750.000000	73.202
3820.000000	73.032
3870.000000	72.919
3950.000000	72.749
4000.000000	72.652
4060.000000	72.539
4120.000000	72.431
4180.000000	72.329
4250.000000	72.219
4310.000000	72.133
4370.000000	72.057
4440.000000	71.981
4500.000000	71.927
4550.000000	71.892
4620.000000	71.852
4680.000000	71.828
4750.000000	71.810
4820.000000	71.801
4870.000000	71.799
4940.000000	71.801
5000.000000	71.808
5080.000000	71.821
5150.000000	71.837
5220.000000	71.855
5300.000000	71.876
5380.000000	71.898
5450.000000	71.920
5520.000000	71.944
5600.000000	71.977
5700.000000	72.028
5800.000000	72.092
5900.000000	72.172
6000.000000	72.266
6080.000000	72.348
6150.000000	72.423
6220.000000	72.503
6300.000000	72.596
6400.000000	72.713
6500.000000	72.834
6600.000000	72.962
6700.000000	73.098
6800.000000	73.245
6900.000000	73.402
7000.000000	73.568
7100.000000	73.742
7200.000000	73.923
7300.000000	74.107
7400.000000	74.292
7500.000000	74.475
7620.000000	74.684
7750.000000	74.893
7880.000000	75.079
8000.000000	75.219
8120.000000	75.326
8250.000000	75.398
8380.000000	75.421
8500.000000	75.395
8620.000000	75.321
8750.000000	75.183
8850.000000	75.034
9000.000000	74.728
9120.000000	74.418
9250.000000	74.013
9380.000000	73.539
9500.000000	73.047
9620.000000	72.505
9750.000000	71.863
9880.000000	71.178
10000.000000	70.513
10150.000000	69.673
10300.000000	68.830
10440.000000	68.054
10600.000000	67.210
10750.000000	66.467
10900.000000	65.782
11060.000000	65.124
11200.000000	64.603
11380.000000	64.016
11500.000000	63.663
11720.000000	63.098
11800.000000	62.917
12060.000000	62.385
12200.000000	62.142
12410.000000	61.834
12500.000000	61.724
12650.000000	61.562
12800.000000	61.431
13150.000000	61.255
13200.000000	61.245
13400.000000	61.233
13600.000000	61.265
13800.000000	61.332
14000.000000	61.419
14300.000000	61.561
14500.000000	61.643
14750.000000	61.721
15000.000000	61.773
15250.000000	61.809
15500.000000	61.842
15750.000000	61.878
16000.000000	61.905
16250.000000	61.899
16500.000000	61.825
16750.000000	61.649
17000.000000	61.347
17250.000000	60.904
17500.000000	60.318
17750.000000	59.595
18000.000000	58.747
18250.000000	57.789
18500.000000	56.741
18750.000000	55.621
19000.000000	54.451
19250.000000	53.252
19500.000000	52.050
19750.000000	50.877
20000.000000	49.774
