* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 8:03:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Std, TWS 6) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1950.000000	74.630
1975.000000	74.669
2000.000000	74.719
2030.000000	74.787
2060.000000	74.859
2090.000000	74.933
2120.000000	75.004
2140.000000	75.050
2180.000000	75.133
2200.000000	75.172
2240.000000	75.242
2270.000000	75.289
2300.000000	75.330
2330.000000	75.365
2360.000000	75.395
2400.000000	75.430
2430.000000	75.452
2470.000000	75.480
2500.000000	75.502
2540.000000	75.532
2580.000000	75.562
2620.000000	75.591
2650.000000	75.610
2690.000000	75.634
2720.000000	75.650
2760.000000	75.670
2800.000000	75.688
2850.000000	75.710
2900.000000	75.732
2950.000000	75.752
3000.000000	75.771
3040.000000	75.782
3070.000000	75.786
3110.000000	75.781
3150.000000	75.760
3200.000000	75.710
3250.000000	75.634
3300.000000	75.531
3350.000000	75.407
3400.000000	75.265
3450.000000	75.112
3500.000000	74.954
3550.000000	74.797
3600.000000	74.644
3650.000000	74.500
3700.000000	74.365
3750.000000	74.240
3820.000000	74.083
3870.000000	73.980
3950.000000	73.825
4000.000000	73.738
4060.000000	73.639
4120.000000	73.547
4180.000000	73.460
4250.000000	73.365
4310.000000	73.290
4370.000000	73.219
4440.000000	73.142
4500.000000	73.082
4550.000000	73.037
4620.000000	72.981
4680.000000	72.940
4750.000000	72.900
4820.000000	72.870
4870.000000	72.854
4940.000000	72.839
5000.000000	72.832
5080.000000	72.833
5150.000000	72.840
5220.000000	72.853
5300.000000	72.873
5380.000000	72.900
5450.000000	72.928
5520.000000	72.960
5600.000000	72.999
5700.000000	73.049
5800.000000	73.101
5900.000000	73.152
6000.000000	73.202
6080.000000	73.242
6150.000000	73.276
6220.000000	73.312
6300.000000	73.354
6400.000000	73.409
6500.000000	73.469
6600.000000	73.535
6700.000000	73.608
6800.000000	73.686
6900.000000	73.769
7000.000000	73.854
7100.000000	73.939
7200.000000	74.023
7300.000000	74.104
7400.000000	74.183
7500.000000	74.256
7620.000000	74.332
7750.000000	74.398
7880.000000	74.441
8000.000000	74.452
8120.000000	74.432
8250.000000	74.370
8380.000000	74.260
8500.000000	74.110
8620.000000	73.909
8750.000000	73.624
8850.000000	73.357
9000.000000	72.855
9120.000000	72.378
9250.000000	71.776
9380.000000	71.092
9500.000000	70.398
9620.000000	69.645
9750.000000	68.769
9880.000000	67.850
10000.000000	66.976
10150.000000	65.909
10300.000000	64.895
10440.000000	64.036
10600.000000	63.214
10750.000000	62.614
10900.000000	62.185
11060.000000	61.895
11200.000000	61.751
11380.000000	61.676
11500.000000	61.671
11720.000000	61.715
11800.000000	61.741
12060.000000	61.852
12200.000000	61.923
12410.000000	62.042
12500.000000	62.098
12650.000000	62.202
12800.000000	62.322
13150.000000	62.658
13200.000000	62.709
13400.000000	62.942
13600.000000	63.197
13800.000000	63.467
14000.000000	63.742
14300.000000	64.137
14500.000000	64.353
14750.000000	64.548
15000.000000	64.636
15250.000000	64.608
15500.000000	64.470
15750.000000	64.236
16000.000000	63.931
16250.000000	63.579
16500.000000	63.188
16750.000000	62.755
17000.000000	62.267
17250.000000	61.705
17500.000000	61.057
17750.000000	60.313
18000.000000	59.473
18250.000000	58.545
18500.000000	57.541
18750.000000	56.477
19000.000000	55.375
19250.000000	54.258
19500.000000	53.154
19750.000000	52.098
20000.000000	51.131
