* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 12, 2025 5:59:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 64 Audio U12t (Deep)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.656146 67.188 38.5972
1.668147 67.275 39.0717
1.680235 67.361 39.5473
1.692411 67.448 40.0237
1.704675 67.534 40.5006
1.717028 67.620 40.9778
1.729470 67.706 41.4550
1.742003 67.793 41.9320
1.754626 67.880 42.4085
1.767341 67.968 42.8866
1.780147 68.057 43.3819
1.793047 68.147 43.8764
1.806040 68.238 44.3702
1.819128 68.330 44.8638
1.832310 68.423 45.3587
1.845587 68.517 45.8574
1.858961 68.611 46.3619
1.872432 68.706 46.8729
1.886001 68.801 47.3905
1.899667 68.895 47.9140
1.913433 68.990 48.4430
1.927299 69.085 48.9767
1.941265 69.180 49.5145
1.955332 69.275 50.0559
1.969501 69.370 50.6005
1.983773 69.465 51.1483
1.998148 69.560 51.6980
2.012627 69.654 52.2490
2.027212 69.749 52.8008
2.041902 69.843 53.3529
2.056698 69.938 53.9049
2.071602 70.032 54.4562
2.086614 70.126 55.0066
2.101734 70.220 55.5554
2.116964 70.314 56.1024
2.132304 70.407 56.6472
2.147756 70.500 57.1894
2.163320 70.593 57.7290
2.178996 70.685 58.2390
2.194786 70.777 58.7420
2.210690 70.869 59.2464
2.226710 70.960 59.7553
2.242845 71.051 60.2698
2.259098 71.142 60.7901
2.275468 71.232 61.3157
2.291957 71.322 61.8458
2.308566 71.411 62.3799
2.325295 71.500 62.9171
2.342145 71.589 63.4567
2.359117 71.676 63.9980
2.376212 71.764 64.5122
2.393431 71.851 65.0074
2.410775 71.938 65.5020
2.428244 72.024 65.9954
2.445840 72.109 66.4871
2.463564 72.195 66.9763
2.481416 72.279 67.4626
2.499397 72.363 67.9455
2.517509 72.447 68.4246
2.535752 72.530 68.8997
2.554127 72.612 69.3716
2.572635 72.694 69.8199
2.591277 72.775 70.2298
2.610055 72.855 70.6427
2.628968 72.935 71.0592
2.648019 73.014 71.4790
2.667208 73.091 71.9017
2.686535 73.168 72.3268
2.706003 73.245 72.7539
2.725612 73.320 73.1822
2.745363 73.395 73.6113
2.765257 73.469 74.0405
2.785295 73.542 74.4013
2.805478 73.614 74.7580
2.825808 73.686 75.1127
2.846285 73.757 75.4648
2.866910 73.828 75.8139
2.887685 73.898 76.1594
2.908611 73.967 76.5014
2.929688 74.035 76.8405
2.950917 74.103 77.1781
2.972301 74.170 77.4956
2.993839 74.236 77.7649
3.015534 74.300 78.0355
3.037386 74.364 78.3072
3.059396 74.427 78.5802
3.081565 74.489 78.8542
3.103896 74.549 79.1292
3.126388 74.609 79.4050
3.149043 74.668 79.6813
3.171862 74.727 79.9378
3.194847 74.784 80.1355
3.217998 74.840 80.3324
3.241317 74.896 80.5281
3.264805 74.951 80.7223
3.288463 75.005 80.9149
3.312293 75.059 81.1059
3.336295 75.111 81.2956
3.360471 75.162 81.4848
3.384822 75.212 81.6198
3.409350 75.260 81.7389
3.434056 75.308 81.8587
3.458940 75.355 81.9795
3.484005 75.400 82.1017
3.509252 75.445 82.2257
3.534681 75.488 82.3518
3.560295 75.531 82.4802
3.586094 75.573 82.5542
3.612081 75.614 82.6139
3.638255 75.655 82.6753
3.664620 75.694 82.7376
3.691175 75.733 82.7997
3.717923 75.771 82.8611
3.744864 75.807 82.9220
3.772001 75.843 82.9693
3.799335 75.877 82.9685
3.826866 75.910 82.9694
3.854597 75.942 82.9729
3.882529 75.973 82.9799
3.910664 76.004 82.9911
3.939002 76.033 83.0074
3.967546 76.062 83.0257
3.996296 76.091 82.9881
4.025255 76.118 82.9552
4.054423 76.145 82.9253
4.083804 76.170 82.8970
4.113396 76.195 82.8699
4.143204 76.218 82.8445
4.173227 76.241 82.8085
4.203468 76.262 82.7338
4.233928 76.283 82.6635
4.264609 76.303 82.5989
4.295512 76.323 82.5409
4.326639 76.342 82.4904
4.357992 76.361 82.4481
4.389572 76.379 82.3735
4.421380 76.397 82.2917
4.453419 76.414 82.2144
4.485691 76.431 82.1411
4.518196 76.446 82.0721
4.550936 76.461 82.0079
4.583914 76.476 81.9234
4.617131 76.491 81.8232
4.650589 76.505 81.7299
4.684289 76.519 81.6443
4.718233 76.534 81.5672
4.752424 76.549 81.4986
4.786862 76.564 81.4106
4.821549 76.579 81.3115
4.856488 76.594 81.2186
4.891680 76.609 81.1317
4.927127 76.624 81.0508
4.962831 76.640 80.9759
4.998794 76.655 80.8690
5.035017 76.672 80.7646
5.071503 76.688 80.6663
5.108253 76.705 80.5743
5.145270 76.723 80.4890
5.182555 76.742 80.3933
5.220110 76.761 80.2825
5.257937 76.780 80.1772
5.296038 76.800 80.0769
5.334415 76.820 79.9811
5.373071 76.842 79.8827
5.412006 76.864 79.7582
5.451224 76.886 79.6366
5.490725 76.910 79.5177
5.530514 76.934 79.4018
5.570590 76.959 79.2857
5.610957 76.986 79.1446
5.651616 77.013 79.0063
5.692570 77.040 78.8702
5.733821 77.069 78.7359
5.775370 77.097 78.5958
5.817221 77.127 78.4326
5.859375 77.157 78.2694
5.901834 77.188 78.1062
5.944602 77.219 77.9432
5.987679 77.251 77.7671
6.031068 77.284 77.5783
6.074771 77.317 77.3903
6.118792 77.351 77.2034
6.163131 77.385 77.0176
6.207792 77.419 76.8093
6.252776 77.453 76.5997
6.298086 77.487 76.3897
6.343725 77.522 76.1796
6.389694 77.556 75.9589
6.435996 77.592 75.7292
6.482634 77.627 75.5023
6.529610 77.662 75.2789
6.576926 77.698 75.0551
6.624585 77.734 74.8195
6.672590 77.770 74.5864
6.720942 77.806 74.3559
6.769645 77.842 74.1272
6.818700 77.879 73.8865
6.868111 77.916 73.6513
6.917881 77.954 73.4224
6.968010 77.993 73.1998
7.018504 78.032 72.9682
7.069362 78.071 72.7425
7.120590 78.111 72.5223
7.172189 78.152 72.3057
7.224161 78.194 72.0821
7.276511 78.238 71.8640
7.329239 78.282 71.6520
7.382350 78.328 71.4427
7.435845 78.376 71.2311
7.489729 78.425 71.0245
7.544002 78.475 70.8211
7.598669 78.527 70.6134
7.653732 78.581 70.4020
7.709194 78.637 70.1909
7.765058 78.695 69.9811
7.821327 78.755 69.7640
7.878004 78.816 69.5461
7.935091 78.880 69.3251
7.992592 78.944 69.0956
8.050510 79.011 68.8556
8.108847 79.079 68.6086
8.167607 79.149 68.3552
8.226793 79.220 68.0901
8.286408 79.293 67.8176
8.346454 79.366 67.5364
8.406936 79.439 67.2424
8.467856 79.513 66.9363
8.529218 79.587 66.6197
8.591024 79.661 66.2923
8.653278 79.736 65.9552
8.715983 79.809 65.6113
8.779143 79.881 65.2607
8.842760 79.953 64.9019
8.906839 80.023 64.5357
8.971381 80.092 64.1640
9.036392 80.160 63.7903
9.101873 80.226 63.4179
9.167829 80.291 63.0484
9.234263 80.354 62.6813
9.301178 80.416 62.3162
9.368578 80.475 61.9558
9.436467 80.534 61.6055
9.504847 80.591 61.2668
9.573723 80.647 60.9409
9.643099 80.702 60.6278
9.712976 80.755 60.3266
9.783361 80.808 60.0396
9.854255 80.862 59.7702
9.925663 80.915 59.5175
9.997588 80.969 59.2812
10.070035 81.023 59.0683
10.143007 81.078 58.8691
10.216507 81.134 58.6823
10.290540 81.192 58.5076
10.365109 81.251 58.3450
10.440219 81.311 58.1927
10.515873 81.373 58.0472
10.592076 81.436 57.9054
10.668830 81.501 57.7658
10.746141 81.568 57.6284
10.824012 81.636 57.4918
10.902447 81.705 57.3533
10.981451 81.775 57.2104
11.061027 81.845 57.0631
11.141180 81.915 56.9110
11.221913 81.986 56.7542
11.303232 82.057 56.5924
11.385140 82.126 56.4252
11.467641 82.196 56.2526
11.550741 82.264 56.0760
11.634442 82.331 55.8975
11.718750 82.397 55.7187
11.803669 82.462 55.5401
11.889203 82.525 55.3623
11.975357 82.586 55.1871
12.062136 82.645 55.0005
12.149543 82.703 54.8132
12.237583 82.759 54.6314
12.326262 82.813 54.4552
12.415583 82.867 54.2849
12.505552 82.921 54.1208
12.596172 82.974 53.9627
12.687449 83.027 53.8093
12.779387 83.080 53.6595
12.871992 83.132 53.5123
12.965268 83.183 53.3673
13.059220 83.234 53.1907
13.153852 83.284 52.9946
13.249170 83.332 52.7979
13.345179 83.380 52.6007
13.441884 83.426 52.4039
13.539289 83.471 52.2083
13.637401 83.514 52.0144
13.736223 83.556 51.8231
13.835761 83.596 51.6368
13.936021 83.634 51.4577
14.037007 83.671 51.2621
14.138725 83.706 51.0324
14.241180 83.740 50.8131
14.344377 83.774 50.6054
14.448323 83.807 50.4093
14.553021 83.839 50.2236
14.658478 83.873 50.0473
14.764700 83.907 49.8795
14.871691 83.942 49.7181
14.979457 83.979 49.5594
15.088005 84.017 49.3492
15.197339 84.058 49.1250
15.307465 84.099 48.8963
15.418389 84.140 48.6605
15.530117 84.181 48.4169
15.642655 84.222 48.1662
15.756008 84.261 47.9092
15.870182 84.300 47.6469
15.985184 84.337 47.3823
16.101019 84.373 47.0805
16.217694 84.409 46.7778
16.335214 84.443 46.4828
16.453586 84.476 46.1994
16.572815 84.509 45.9305
16.692909 84.542 45.6764
16.813872 84.576 45.4361
16.935713 84.614 45.2086
17.058436 84.654 44.9805
17.182048 84.699 44.7444
17.306556 84.747 44.5045
17.431967 84.800 44.2555
17.558286 84.855 43.9892
17.685521 84.913 43.6990
17.813677 84.973 43.3820
17.942762 85.033 43.0353
18.072783 85.092 42.6581
18.203746 85.149 42.2538
18.335658 85.203 41.8280
18.468526 85.252 41.3862
18.602356 85.295 40.9381
18.737156 85.333 40.4946
18.872934 85.366 40.0637
19.009695 85.394 39.6557
19.147447 85.420 39.2882
19.286197 85.444 38.9546
19.425953 85.468 38.6565
19.566721 85.494 38.3934
19.708510 85.522 38.1593
19.851326 85.555 37.9462
19.995177 85.592 37.7462
20.140070 85.634 37.5546
20.286013 85.680 37.3559
20.433014 85.730 37.1435
20.581080 85.781 36.9118
20.730219 85.833 36.6596
20.880439 85.883 36.3891
21.031747 85.931 36.1032
21.184152 85.977 35.8049
21.337661 86.019 35.5066
21.492282 86.059 35.2140
21.648024 86.098 34.9325
21.804895 86.136 34.6645
21.962902 86.174 34.4085
22.122054 86.213 34.1438
22.282360 86.255 33.8759
22.443827 86.298 33.6019
22.606464 86.343 33.3151
22.770280 86.388 33.0089
22.935283 86.433 32.6805
23.101481 86.475 32.3105
23.268884 86.514 31.9097
23.437500 86.547 31.4994
23.607338 86.575 31.0892
23.778406 86.597 30.6902
23.950714 86.614 30.3132
24.124271 86.629 29.9425
24.299086 86.642 29.5962
24.475167 86.655 29.2827
24.652524 86.671 28.9971
24.831166 86.690 28.7318
25.011103 86.714 28.4744
25.192344 86.741 28.1946
25.374898 86.772 27.9048
25.558775 86.805 27.5996
25.743984 86.838 27.2766
25.930536 86.871 26.9366
26.118439 86.904 26.5769
26.307704 86.934 26.2045
26.498341 86.963 25.8282
26.690359 86.991 25.4511
26.883768 87.017 25.0748
27.078579 87.043 24.7004
27.274801 87.068 24.3276
27.472446 87.092 23.9553
27.671522 87.115 23.5847
27.872042 87.136 23.2197
28.074014 87.155 22.8683
28.277450 87.173 22.5389
28.482360 87.191 22.2312
28.688755 87.210 21.9471
28.896645 87.231 21.6838
29.106042 87.257 21.4356
29.316957 87.288 21.1905
29.529400 87.323 20.9323
29.743382 87.362 20.6485
29.958915 87.402 20.3314
30.176009 87.441 19.9780
30.394677 87.477 19.5957
30.614929 87.508 19.1966
30.836778 87.533 18.7948
31.060234 87.554 18.4000
31.285309 87.573 18.0155
31.512015 87.590 17.6504
31.740364 87.609 17.2994
31.970368 87.629 16.9525
32.202039 87.651 16.5843
32.435388 87.673 16.1998
32.670428 87.693 15.8002
32.907171 87.710 15.3900
33.145630 87.722 14.9682
33.385817 87.731 14.5497
33.627745 87.737 14.1504
33.871425 87.742 13.7746
34.116871 87.748 13.4143
34.364096 87.756 13.0629
34.613113 87.766 12.7192
34.863934 87.778 12.3771
35.116572 87.792 12.0299
35.371041 87.806 11.6770
35.627354 87.821 11.3233
35.885525 87.838 10.9682
36.145566 87.857 10.6081
36.407492 87.878 10.2366
36.671316 87.900 9.8474
36.937051 87.923 9.4364
37.204712 87.943 9.0080
37.474313 87.961 8.5679
37.745867 87.975 8.1263
38.019389 87.985 7.6949
38.294893 87.994 7.2835
38.572394 88.002 6.8912
38.851905 88.010 6.5142
39.133442 88.020 6.1452
39.417019 88.031 5.7789
39.702651 88.041 5.4151
39.990353 88.051 5.0555
40.280140 88.061 4.6973
40.572026 88.071 4.3449
40.866028 88.082 3.9939
41.162160 88.093 3.6325
41.460438 88.104 3.2561
41.760877 88.113 2.8687
42.063494 88.117 2.4752
42.368303 88.118 2.0822
42.675322 88.116 1.7080
42.984565 88.113 1.3572
43.296048 88.112 1.0187
43.609789 88.114 0.6856
43.925804 88.118 0.3421
44.244108 88.124 -0.0285
44.564719 88.130 -0.4284
44.887654 88.133 -0.8531
45.212928 88.132 -1.2945
45.540560 88.127 -1.7404
45.870565 88.119 -2.1793
46.202962 88.109 -2.6041
46.537768 88.098 -3.0124
46.875000 88.088 -3.4065
47.214676 88.080 -3.7929
47.556813 88.072 -4.1767
47.901429 88.066 -4.5590
48.248542 88.059 -4.9355
48.598171 88.052 -5.2963
48.950334 88.046 -5.6340
49.305048 88.045 -5.9547
49.662333 88.049 -6.2718
50.022206 88.060 -6.6095
50.384688 88.073 -6.9914
50.749796 88.084 -7.4170
51.117550 88.088 -7.8698
51.487969 88.085 -8.3208
51.861072 88.076 -8.7416
52.236879 88.065 -9.1245
52.615409 88.056 -9.4789
52.996681 88.050 -9.8244
53.380717 88.045 -10.1802
53.767536 88.040 -10.5453
54.157158 88.032 -10.9120
54.549603 88.022 -11.2712
54.944892 88.013 -11.6193
55.343045 88.005 -11.9657
55.744084 87.998 -12.3170
56.148028 87.990 -12.6772
56.554900 87.982 -13.0429
56.964720 87.972 -13.4061
57.377510 87.962 -13.7672
57.793291 87.952 -14.1273
58.212085 87.942 -14.4916
58.633914 87.931 -14.8609
59.058799 87.919 -15.2295
59.486764 87.905 -15.5907
59.917829 87.891 -15.9420
60.352019 87.877 -16.2909
60.789354 87.865 -16.6431
61.229859 87.853 -17.0044
61.673556 87.840 -17.3745
62.120468 87.826 -17.7494
62.570618 87.812 -18.1277
63.024031 87.798 -18.5099
63.480729 87.784 -18.8988
63.940736 87.769 -19.2911
64.404077 87.753 -19.6817
64.870776 87.736 -20.0602
65.340856 87.721 -20.4269
65.814343 87.709 -20.7870
66.291261 87.698 -21.1529
66.771635 87.688 -21.5317
67.255489 87.677 -21.9205
67.742850 87.662 -22.3070
68.233743 87.645 -22.6777
68.728193 87.626 -23.0288
69.226226 87.608 -23.3678
69.727867 87.591 -23.7065
70.233144 87.571 -24.0504
70.742083 87.550 -24.3936
71.254709 87.527 -24.7255
71.771050 87.505 -25.0442
72.291132 87.485 -25.3630
72.814984 87.469 -25.7011
73.342631 87.452 -26.0681
73.874102 87.433 -26.4532
74.409424 87.412 -26.8396
74.948626 87.390 -27.2179
75.491734 87.368 -27.5920
76.038779 87.347 -27.9638
76.589787 87.324 -28.3321
77.144788 87.302 -28.6919
77.703811 87.280 -29.0453
78.266885 87.258 -29.3973
78.834039 87.236 -29.7506
79.405303 87.214 -30.1074
79.980706 87.193 -30.4737
80.560280 87.171 -30.8535
81.144053 87.146 -31.2412
81.732056 87.120 -31.6237
82.324320 87.094 -31.9932
82.920876 87.069 -32.3548
83.521755 87.047 -32.7201
84.126988 87.024 -33.0921
84.736607 87.000 -33.4635
85.350643 86.975 -33.8219
85.969129 86.949 -34.1602
86.592097 86.923 -34.4805
87.219579 86.899 -34.7907
87.851608 86.877 -35.1038
88.488217 86.854 -35.4310
89.129439 86.831 -35.7724
89.775308 86.804 -36.1205
90.425856 86.776 -36.4665
91.081119 86.747 -36.8049
91.741131 86.719 -37.1348
92.405925 86.692 -37.4616
93.075536 86.666 -37.7930
93.750000 86.640 -38.1286
94.429351 86.612 -38.4590
95.113625 86.585 -38.7791
95.802858 86.559 -39.0974
96.497085 86.532 -39.4247
97.196342 86.504 -39.7617
97.900667 86.474 -40.1028
98.610096 86.443 -40.4446
99.324665 86.411 -40.7846
100.044413 86.380 -41.1220
100.769376 86.350 -41.4639
101.499592 86.321 -41.8208
102.235100 86.290 -42.1853
102.975938 86.255 -42.5270
103.722144 86.221 -42.8290
104.473757 86.191 -43.1085
105.230817 86.165 -43.3904
105.993363 86.140 -43.6818
106.761435 86.116 -43.9897
107.535072 86.091 -44.3245
108.314315 86.062 -44.6771
109.099206 86.030 -45.0228
109.889783 85.996 -45.3467
110.686090 85.963 -45.6503
111.488167 85.932 -45.9437
112.296056 85.905 -46.2428
113.109800 85.879 -46.5601
113.929440 85.851 -46.8987
114.755020 85.821 -47.2503
115.586582 85.787 -47.6010
116.424170 85.751 -47.9396
117.267827 85.714 -48.2651
118.117598 85.678 -48.5778
118.973527 85.643 -48.8764
119.835658 85.611 -49.1674
120.704037 85.584 -49.4651
121.578708 85.558 -49.7807
122.459718 85.532 -50.1124
123.347111 85.506 -50.4493
124.240935 85.480 -50.7878
125.141236 85.454 -51.1344
126.048061 85.427 -51.5032
126.961458 85.394 -51.8891
127.881473 85.355 -52.2431
128.808154 85.315 -52.5370
129.741551 85.279 -52.8103
130.681712 85.244 -53.0915
131.628686 85.207 -53.3707
132.582521 85.169 -53.6350
133.543269 85.131 -53.8886
134.510979 85.096 -54.1453
135.485701 85.061 -54.4196
136.467486 85.027 -54.7136
137.456386 84.991 -55.0183
138.452451 84.956 -55.3405
139.455735 84.918 -55.6748
140.466288 84.879 -55.9848
141.484165 84.843 -56.2607
142.509418 84.813 -56.5305
143.542100 84.786 -56.8234
144.582265 84.757 -57.1355
145.629968 84.721 -57.4151
146.685262 84.684 -57.6293
147.748204 84.648 -57.7986
148.818849 84.616 -57.9559
149.897251 84.587 -58.1313
150.983469 84.560 -58.3433
152.077557 84.535 -58.5967
153.179574 84.512 -58.8881
154.289576 84.491 -59.2042
155.407622 84.473 -59.5397
156.533770 84.456 -59.8870
157.668078 84.439 -60.2340
158.810606 84.422 -60.5805
159.961413 84.401 -60.9281
161.120559 84.377 -61.2641
162.288105 84.352 -61.5977
163.464112 84.325 -61.9444
164.648640 84.298 -62.2968
165.841752 84.270 -62.6528
167.043510 84.240 -63.0227
168.253976 84.206 -63.3845
169.473213 84.169 -63.7011
170.701286 84.136 -63.9832
171.938258 84.106 -64.2755
173.184194 84.076 -64.5965
174.439158 84.043 -64.9325
175.703216 84.007 -65.2709
176.976434 83.971 -65.6044
178.258878 83.937 -65.9314
179.550615 83.906 -66.2553
180.851713 83.879 -66.5906
182.162239 83.852 -66.9319
183.482262 83.823 -67.2601
184.811850 83.792 -67.5639
186.151073 83.759 -67.8492
187.500000 83.725 -68.1327
188.858702 83.691 -68.4192
190.227250 83.658 -68.7080
191.605715 83.628 -68.9939
192.994169 83.602 -69.2813
194.392685 83.577 -69.5893
195.801334 83.552 -69.9165
197.220191 83.523 -70.2528
198.649330 83.492 -70.5890
200.088825 83.459 -70.9088
201.538751 83.428 -71.2073
202.999184 83.398 -71.4910
204.470200 83.370 -71.7705
205.951875 83.344 -72.0595
207.444287 83.319 -72.3830
208.947514 83.291 -72.7363
210.461634 83.263 -73.0837
211.986726 83.235 -73.4071
213.522869 83.207 -73.7142
215.070144 83.177 -74.0212
216.628631 83.145 -74.3358
218.198411 83.111 -74.6626
219.779567 83.080 -75.0004
221.372180 83.055 -75.3321
222.976334 83.035 -75.6433
224.592112 83.017 -75.9248
226.219600 82.999 -76.1883
227.858880 82.978 -76.4608
229.510039 82.954 -76.7681
231.173164 82.927 -77.1114
232.848340 82.900 -77.4641
234.535655 82.872 -77.7932
236.235197 82.847 -78.0894
237.947054 82.825 -78.3817
239.671317 82.803 -78.6968
241.408074 82.781 -79.0371
243.157416 82.759 -79.3909
244.919435 82.737 -79.7370
246.694223 82.718 -80.0578
248.481871 82.700 -80.3657
250.282473 82.681 -80.6671
252.096123 82.659 -80.9606
253.922915 82.636 -81.2560
255.762945 82.615 -81.5843
257.616309 82.596 -81.9496
259.483103 82.578 -82.3196
261.363424 82.560 -82.6709
263.257372 82.541 -83.0065
265.165043 82.521 -83.3453
267.086538 82.502 -83.6996
269.021957 82.484 -84.0711
270.971401 82.469 -84.4429
272.934972 82.456 -84.7988
274.912771 82.442 -85.1458
276.904902 82.427 -85.4988
278.911469 82.410 -85.8610
280.932577 82.393 -86.2282
282.968330 82.379 -86.5918
285.018835 82.368 -86.9513
287.084199 82.357 -87.3121
289.164530 82.346 -87.6823
291.259935 82.333 -88.0579
293.370525 82.319 -88.4375
295.496408 82.306 -88.8215
297.637697 82.294 -89.2140
299.794503 82.283 -89.6130
301.966937 82.274 -90.0157
304.155114 82.265 -90.4132
306.359147 82.255 -90.7956
308.579152 82.242 -91.1570
310.815244 82.229 -91.5103
313.067539 82.216 -91.8828
315.336156 82.206 -92.2906
317.621211 82.200 -92.7271
319.922826 82.196 -93.1714
322.241118 82.193 -93.6059
324.576210 82.189 -94.0251
326.928223 82.185 -94.4414
