* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
1659.954630	-0.806791
1684.099226	-0.812525
1708.595013	-0.818342
1733.447100	-0.824244
1758.660669	-0.830232
1784.240977	-0.836307
1810.193360	-0.843343
1836.523229	-0.850562
1863.236074	-0.857885
1890.337467	-0.865316
1917.833058	-0.872854
1945.728583	-0.883893
1974.029857	-0.905938
2002.742782	-0.939639
2031.873347	-0.994936
2061.427625	-1.050234
2091.411780	-1.105479
2121.832065	-1.160771
2152.694823	-1.201175
2184.006490	-1.238016
2215.773596	-1.284765
2248.002765	-1.325678
2280.700718	-1.353000
2313.874274	-1.375174
2347.530351	-1.390957
2381.675966	-1.404724
2416.318240	-1.418691
2451.464399	-1.411332
2487.121769	-1.395562
2523.297789	-1.378048
2560.000000	-1.341192
2597.236057	-1.304370
2635.013726	-1.252679
2673.340883	-1.197441
2712.225522	-1.152006
2751.675750	-1.107804
2791.699796	-1.064351
2832.306004	-1.038172
2873.502844	-1.022451
2915.298905	-1.006502
2957.702904	-1.015827
3000.723683	-1.029615
3044.370214	-1.043603
3088.651599	-1.054988
3133.577071	-1.065953
3179.155999	-1.077078
3225.397888	-1.087659
3272.312380	-1.082892
3319.909260	-1.078056
3368.198452	-1.073150
3417.190027	-1.068172
3466.894200	-1.063122
3517.321337	-1.057998
3568.481954	-1.052800
3620.386720	-1.047526
3673.046457	-1.050504
3726.472148	-1.056820
3780.674934	-1.063228
3835.666117	-1.069730
3891.457165	-1.076326
3948.059713	-1.083018
4005.485564	-1.098282
4063.746693	-1.135160
4122.855250	-1.172300
4182.823560	-1.227533
4243.664130	-1.273568
4305.389646	-1.310431
4368.012981	-1.351534
4431.547192	-1.398076
4496.005531	-1.434941
4561.401437	-1.471816
4627.748549	-1.507723
4695.060701	-1.529713
4763.351932	-1.549992
4832.636481	-1.560854
4902.928797	-1.571873
4974.243539	-1.583054
5046.595577	-1.585756
5120.000000	-1.574860
5194.472115	-1.563806
5270.027452	-1.552591
5346.681766	-1.531502
5424.451043	-1.502936
5503.351500	-1.466071
5583.399591	-1.429250
5664.612008	-1.411433
5747.005687	-1.397653
5830.597810	-1.383672
5915.405808	-1.393111
6001.447367	-1.408897
6088.740429	-1.427860
6177.303198	-1.464906
6267.154142	-1.534076
6358.311998	-1.602795
6450.795775	-1.713374
6544.624761	-1.790593
6639.818520	-1.866777
6736.396904	-1.902364
6834.380053	-1.917493
6933.788400	-1.879481
7034.642675	-1.807382
7136.963909	-1.696832
7240.773439	-1.586254
7346.092914	-1.445139
7452.944296	-1.323311
7561.349867	-1.212726
7671.332234	-1.115987
7782.914330	-1.069810
7896.119426	-1.032947
8010.971128	-0.999344
8127.493386	-0.977305
8245.710500	-0.971367
8365.647121	-0.999036
8487.328260	-1.034169
8610.779292	-1.104490
8736.025961	-1.159779
8863.094385	-1.235968
8992.011061	-1.312173
9122.802874	-1.388391
9255.497097	-1.464625
9390.121402	-1.533509
9526.703863	-1.602230
9665.272962	-1.754648
9805.857594	-1.931210
9948.487077	-2.203413
10093.191154	-2.571221
10240.000000	-3.034531
10388.944230	-3.551742
10540.054903	-4.140176
10693.363532	-4.752853
10848.902086	-5.329509
11006.703001	-5.810387
11166.799182	-6.138859
11329.224017	-6.318090
11494.011375	-6.325457
11661.195620	-6.156499
11830.811616	-5.744049
12002.894734	-5.188354
12177.480858	-4.498057
12354.606395	-3.688276
12534.308283	-2.783066
12716.623996	-1.787897
12901.591551	-0.792911
13089.249521	0.142407
13279.637040	1.024191
13472.793808	1.696715
13668.760107	2.151064
13867.576801	2.468066
14069.285350	2.620810
14273.927818	2.680140
14481.546879	2.702143
14692.185828	2.725521
14905.888592	2.753143
15122.699734	2.800190
15342.664467	2.907596
15565.828661	3.018171
15792.238852	3.128724
16021.942256	3.163273
